ConID, Ticker, Price, Bar Count, Volume, High, Low, Current, WAP, VWAP
3691937, AMZN, 89.31, 5963, 41618, 89.45, 88.63, 89.32, 89.067, 0
265598, AAPL, 142.3, , 114115, 143.01, 141.64, 142.29, 0
107113386, META, 113.48, 2920, 47065, 115.72, 113.62, 113.73, 114.1, 0
9599491, F, 13.21, 2045, 69854, 13.25, 13.1, 0, 13.18, 0
272093, MSFT, 250.91, 1257, 64637, 252.16, 247.17, 13.18, 245.43, 0
4815747, NVDA, 170.83, 6377, 121195, 172.65, 167.97, 170.82, 171.49, 0
76792991, TSLA, 171.48, 16634, 273447, 177.37, 170.95, 171.48, 177.60, 0
479624278, BTC, 17032.25, 289, 95.97, 17264.5, 17026, 17032, 17044.3, 0
495759171, ETH, 1259.9, 152, 658.5, 1283.75, 1255.9, 1259.9, 1260.46, 0
